Inventario,Marca,Modello,Anno,AnniProduzione,Paese,Acquisizione,TipoMotore,Cilindrata,Potenza,Velocita
,Lancia ,2000,1973,,Italia,Dono di Mario Nano,,,,
V 209,Lancia ,Appia Zagato GTE,1961,,Italia,"Da fare atto
Maria Viveros",,,,
COM 015,Lancia,Aprilia,1948,,Italia,Comodato Fiat Auto SpA,combustione interna,1486 cc,48 CV a 4300 giri/min.,125 km/h
V 164,Lancia,Aurelia B20,1958,1951-1958,Italia,"Dono di Gianfranco Moncalvi, Pavia",combustione interna,2500 cc,112 CV a 5000 giri/min.,165 km/h
V086,Lancia,D24,1953,1953-1954,Italia,"Dono di Lancia S.p.A., Torino",combustione interna,3284 cc,245 CV a 6500 giri/min.,250 km/h
V087,Lancia,D50,1955,1954-1955,Italia,"Dono Lancia S.p.A., Torino",combustione interna,2488 cc,260 CV a 8000 giri/min.,280 km/h
V 179,Lancia,Delta Evoluzione,1991,1991-1993,Italia,,combustione interna,"1995 cc, 16 valvole",210 CV a 5750 giri/min.,220 km/h
COM 005,Lancia,Flaminia presidenziale ,1961,,Italia,Comodato Presidenza della Repubblica Italiana,combustione interna,2458 cc,110 hp - 5200 rpm,160 km/h
V083,Lancia,Lambda,1928,1922-1931,Italia,"Dono di Vincenzo Lancia, Torino",,2570 cc,69 CV a 3500 giri/min.,125 km/h
V084,Lancia,Lambda (torpedo),1930,,Italia,,combustione interna,2570 cc,69 hp - 3500 rpm ,125 km/h
V 174,Land Rover,109 Aziza 3,1967,1967,Regno Unito,"Dono di Giuseppina Cirani Sfrondini, Milano",,2286 cc,77 CV a 4250 giri/min.,105 km/h
COM 010,Le Corbusier,Voiture Maximum ,"1928 (progetto)
1986 (Italdesign)",,Francia,Comodato Banca Fideuram,,,,
V 176,LEM,Laboratorio Elettrico Mobile,1974,1974,Italia,"Dono di Adriana e Chiara Rogliatti, Torino",elettrico,,4 CV a 50 A ,55 km/h 
V 166,Lloyd,Alexander TS,1958,,Germania,,combustione interna,600 cc,29 hp - 4500 rpm,110 km/h
V90,Maserati,26B ,1928,1927-1930,Italia,"Dono delle Officine Alfieri Maserati, Modena",combustione interna,1980 cc,155 CV a 5300 giri/min.,180 km/h
V091,Maserati,250F,1954,1954-1960,Italia,"Dono delle Officine Alfieri Maserati, Modena",combustione interna,2493 cc,240 CV a 7200 giri/min.,290 km/h
V005,Maserati,Mexico,1968,1966-1973,Italia,,combustione interna,4719 cc,290 CV a 5500 giri/min.,230 km/h
COM 017,Maserati ,Osca,1963,,,,,,,
V092,Mercedes Benz,540K,1936,1936-1939,Germania,"Dono di Giovanni Agnelli, Torino",combustione interna,5401 cc,180 CV a 3500 giri/min.,170 km/h
V093,Mercedes Benz,W196 R,1954,1954-1955,Germania,"Dono di Daimler-Benz A.G., Stoccarda",combustione interna,2496 cc,290 CV a 8000 giri/min.,290 km/h
V096,Monaco Nardi,Chichibio,1932,1932,Italia,"Dono di Enrico Nardi, Torino",combustione interna,998 cc,65 CV a 5400 giri/min.,180 km/h
V095,Monaco Trossi,,1935,1935,Italia,"Dono di Lisetta Trossi, Gaglianico (BI)",combustione interna,3982 cc,250 CV a 6000 giri/min.,200 km/h
COM 009,Morris,Mini ,1972,,Regno Unito,Prestito,,,,
V 158,Nibbio,II,1955,1955,Italia,"Dono di Giovanni Lurani Cernuschi, Cernusco Lombardone (LC)",combustione interna,350 cc,39 CV a 7500 giri/min.,185 km/h
V 172,NSU,Ro80,1970,1967-1977,Germania,"Dono di Pietro e Giovanna Fiore, Sparanise (CS)",combustione interna,996 cc,130 CV a 5500 giri/min.,180 km/h
V097,Oldsmobile,6C Curved Dash,1904,1901-1907,Stati Uniti,"Acquistata da Finarte, Milano ",combustione interna,1924 cc,7 CV a 700 giri/min.,30 km/h
V098,OM,469 Sport,1922,1922-1934,Italia,"Dono di OM S.p.A., Milano",combustione interna,1496 cc ,30 CV a 3300 giri/min.,100 km/h
V100,OM,665 N5,1931,1929-1934,Italia,"Dono di OM S.p.A., Milano",combustione interna,2221 cc,55 CV a 4000 giri/min.,120 km/h
V 146,Orient Express,Duchesse,1899,,Germania,,combustione interna,2771 cc,"3,5 hp",35 km/h
V102,Packard,Super-Eight 1501,1937,1933-1939,Stati Uniti,"Dono di F. Gordon Morrill, Firenze",combustione interna,5261 cc,125 CV a 3200 giri/min.,120 km/h
COM 018,Panhard & Levassor,Tipo  A,1895,,Francia,Comodato Musei Civici di Domodossola,,,,
V103,Panhard & Levassor,B1,1899,,Francia,Acquistata dalla Ditta Giusti di Pisa,combustione interna,3562 cc,12 hp - 750 rpm,60 km/h
V104,Panhard & Levassor,X17 SS,1912,1912,Francia,,combustione interna,2614 cc,15 CV a 1200 giri/min.,
P 025,Panhard Special Paul Etienne,,,,,,,,,
V106,Peugeot,Tipo 3,1892,1891-1894,Francia,"Acquistata dalla Galleria d'Arte di Enrico Pavonello, Udine ",combustione interna,565 cc,2 CV a 1000 giri/min.,35 km/h
V 180,Phoenix,II Solare,1987,1987,Italia,"Dono di Andrea Pesaresi, Osimo (AN)",elettrosolare,,,80 km/h
V108,Pope Waverley,Model 36,1907,,Stati Uniti,"Dono di Luigi Damevino, Torino",elettrico,,,30 km/h
V109,Prinetti & Stucchi,4 HP,1899,1899,Italia,"Acquistata dal Dr. Renzo Tentolini, Casalmaggiore (Cremona)",combustione interna,516 cc,4 CV a 1500 giri/min.,45 km/h
V111,Renault,AG-Fiacre Paris,1910,1905-1910,Francia,"Aquistata da Sebastiano Quaglia, Rapallo - Prima DONO (verificare)",combustione interna,1206 cc,7 CV a 1800 giri/min.,65 km/h
V 150,Renault,Floride,1958,,Francia,,combustione interna,845 cc,40 hp - 5000 rpm,125 km/h
V 152,REO,Gentleman’s Roadster,1908,1904-1910,Stati Uniti,"Dono degli eredi di Vittorio Zanon dei Conti di Valgiurata, Torino",,,18-20 CV,70 km/h
V115,Rolls-Royce,"40/50 HP ""Silver Ghost""",1914,1907-1926,Regno Unito,,combustione interna,7428 cc,non dichiarata dal costruttore,non dichiarata dal costruttore
V116,Scat-Ceirano,150S,1926,,Italia,"Dono di Giorgio Franchetti, Roma",combustione interna,1458 cc,35 hp - 3000 rpm,110 km/h
V117,Sizare-Naudin,8 HP,1907,1906-1908,Francia,Acquistata da Henri Malartre,,1244 cc,8 CV a 1400 giri/min.,60 km/h
V118,Spa,23 S,1922,,Italia,Dono di Fiat (acquistata da C. Kay in Inghilterra),combustione interna,2724 cc,50 hp - 3000 rpm,110 km/h
V119,STAE,Vettura Elettrica,1909,1909,Italia,"Dono di Silvio Simeon, Torino",elettrico,,10 CV ,30 km/h
V 197,Stanley,Phaeton Runabout,1898,,Stati Uniti,Dono della Fondazione Nicola Bulgari,,,,
V121,Storero,A 25/35 HP,1914,,Italia,,combustione interna,4480 cc,35 hp - 2000 rpm,80 km/h
V122,Tarf,I,1948,1948,Italia,"Dono di Piero Taruffi, Roma",combustione interna,350 cc,40 CV a 11500 giri/min.,212 km/h
V123,Temperino,8/10 HP,1920,1918-1924,Italia,,combustione interna,1010 cc,20 CV a 2800 giri/min.,65 km/h
V 181,Trabant,601,1987,1964-1990,Germania,"Dono di Fiat Auto Poland, Bielsko Biala",combustione interna,595 cc,26 CV,100 km/h
V127,Triciclo a vapore Pecori ,,1891,1891,Italia,"Dono di Augusto Pecori, Caslino d'Erba (Como)",a vapore,,,
V126,Vinot & Deguingand,14/20 HP,1907,1907,Francia,,combustione interna,3308 cc,19 CV a 1200 giri/min.,65 km/h
COM 004,Volkswagen,"Tipo 1 ""Maggiolino""",1952,1945-1987,Germania,"Dono di Museo Volkswagen, Wolfsburg",combustione interna,1131 cc,25 CV a 3300 giri/min.,100 km/h
